State,Town,7_2009
Alabama,.Abbeville city,"2,930"
Alabama,.Adamsville city,"4,782"
Alabama,.Addison town,709
Alabama,.Akron town,433
Alabama,.Alabaster city,"29,861"
Alabama,.Albertville city,"20,115"
Alabama,.Alexander City city,"15,114"
Alabama,.Aliceville city,"2,417"
Alabama,.Allgood town,737
Alabama,.Altoona town,966
Alabama,.Andalusia city,"8,863"
Alabama,.Anderson town,355
Alabama,.Anniston city,"23,561"
Alabama,.Arab city,"8,272"
Alabama,.Ardmore town,"1,288"
Alabama,.Argo town,"1,961"
Alabama,.Ariton town,746
Alabama,.Arley town,318
Alabama,.Ashford town,"2,100"
Alabama,.Ashland town,"1,890"
Alabama,.Ashville city,"2,643"
Alabama,.Athens city,"24,194"
Alabama,.Atmore city,"10,109"
Alabama,.Attalla city,"6,587"
Alabama,.Auburn city,"57,828"
Alabama,.Autaugaville town,877
Alabama,.Avon town,488
Alabama,.Babbie town,624
Alabama,.Baileyton town,722
Alabama,.Bakerhill town,322
Alabama,.Banks town,222
Alabama,.Bay Minette city,"8,342"
Alabama,.Bayou La Batre city,"3,163"
Alabama,.Bear Creek town,990
Alabama,.Beatrice town,384
Alabama,.Beaverton town,205
Alabama,.Belk town,207
Alabama,.Benton town,42
Alabama,.Berry town,"1,172"
Alabama,.Bessemer city,"28,772"
Alabama,.Billingsley town,118
Alabama,.Birmingham city,"230,131"
Alabama,.Black town,210
Alabama,.Blountsville town,"2,000"
Alabama,.Blue Springs town,118
Alabama,.Boaz city,"8,501"
Alabama,.Boligee town,331
Alabama,.Bon Air town,94
Alabama,.Brantley town,905
Alabama,.Brent city,"4,182"
Alabama,.Brewton city,"5,240"
Alabama,.Bridgeport city,"2,602"
Alabama,.Brighton city,"3,376"
Alabama,.Brilliant town,941
Alabama,.Brookside town,"1,337"
Alabama,.Brookwood town,"1,979"
Alabama,.Brundidge city,"2,259"
Alabama,.Butler town,"1,689"
Alabama,.Calera city,"10,984"
Alabama,.Camden city,"2,144"
Alabama,.Camp Hill town,"1,213"
Alabama,.Carbon Hill city,"2,026"
Alabama,.Cardiff town,81
Alabama,.Carolina town,245
Alabama,.Carrollton town,910
Alabama,.Castleberry town,548
Alabama,.Cedar Bluff town,"1,635"
Alabama,.Center Point city,"15,519"
Alabama,.Centre city,"3,461"
Alabama,.Centreville city,"2,609"
Alabama,.Chatom town,"1,147"
Alabama,.Chelsea city,"4,596"
Alabama,.Cherokee town,"1,161"
Alabama,.Chickasaw city,"5,934"
Alabama,.Childersburg city,"4,935"
Alabama,.Citronelle city,"3,751"
Alabama,.Clanton city,"8,929"
Alabama,.Clay city,"8,409"
Alabama,.Clayhatchee town,493
Alabama,.Clayton town,"1,392"
Alabama,.Cleveland town,"1,427"
Alabama,.Clio city,"2,354"
Alabama,.Coaling town,"1,192"
Alabama,.Coffee Springs town,256
Alabama,.Coffeeville town,339
Alabama,.Coker town,819
Alabama,.Collinsville town,"2,000"
Alabama,.Colony town,412
Alabama,.Columbia town,853
Alabama,.Columbiana city,"4,090"
Alabama,.Coosada town,"1,687"
Alabama,.Cordova city,"2,260"
Alabama,.Cottonwood town,"1,215"
Alabama,.County Line town,271
Alabama,.Courtland town,761
Alabama,.Cowarts town,"1,660"
Alabama,.Creola city,"2,073"
Alabama,.Crossville town,"1,513"
Alabama,.Cuba town,306
Alabama,.Cullman city,"15,302"
Alabama,.Cusseta town,111
Alabama,.Dadeville city,"3,233"
Alabama,.Daleville city,"4,532"
Alabama,.Daphne city,"19,542"
Alabama,.Dauphin Island town,"1,602"
Alabama,.Daviston town,260
Alabama,.Dayton town,58
Alabama,.Deatsville town,379
Alabama,.Decatur city,"56,411"
Alabama,.Demopolis city,"7,300"
Alabama,.Detroit town,223
Alabama,.Dodge City town,653
Alabama,.Dora city,"2,410"
Alabama,.Dothan city,"67,525"
Alabama,.Double Springs town,971
Alabama,.Douglas town,632
Alabama,.Dozier town,394
Alabama,.Dutton town,303
Alabama,.East Brewton city,"2,471"
Alabama,.Eclectic town,"1,160"
Alabama,.Edwardsville town,195
Alabama,.Elba city,"4,213"
Alabama,.Elberta town,"1,514"
Alabama,.Eldridge town,172
Alabama,.Elkmont town,556
Alabama,.Elmore town,767
Alabama,.Emelle town,28
Alabama,.Enterprise city,"25,885"
Alabama,.Epes town,179
Alabama,.Ethelsville town,75
Alabama,.Eufaula city,"14,521"
Alabama,.Eutaw town,"2,845"
Alabama,.Eva town,593
Alabama,.Evergreen city,"3,460"
Alabama,.Excel town,602
Alabama,.Fairfield city,"11,336"
Alabama,.Fairhope city,"17,550"
Alabama,.Fairview town,615
Alabama,.Falkville town,"1,218"
Alabama,.Faunsdale town,82
Alabama,.Fayette city,"4,657"
Alabama,.Five Points town,136
Alabama,.Flomaton town,"1,538"
Alabama,.Florala town,"1,869"
Alabama,.Florence city,"38,119"
Alabama,.Foley city,"14,197"
Alabama,.Forkland town,574
Alabama,.Fort Deposit town,"1,156"
Alabama,.Fort Payne city,"14,165"
Alabama,.Franklin town,142
Alabama,.Frisco City town,"1,331"
Alabama,.Fruithurst town,285
Alabama,.Fulton town,294
Alabama,.Fultondale city,"6,993"
Alabama,.Fyffe town,"1,060"
Alabama,.Gadsden city,"36,719"
Alabama,.Gainesville town,192
Alabama,.Gantt town,237
Alabama,.Garden City town,593
Alabama,.Gardendale city,"13,720"
Alabama,.Gaylesville town,141
Alabama,.Geiger town,140
Alabama,.Geneva city,"4,445"
Alabama,.Georgiana town,"1,550"
Alabama,.Geraldine town,844
Alabama,.Gilbertown town,166
Alabama,.Glen Allen town,468
Alabama,.Glencoe city,"5,321"
Alabama,.Glenwood town,194
Alabama,.Goldville town,36
Alabama,.Good Hope town,"2,090"
Alabama,.Goodwater town,"1,477"
Alabama,.Gordo town,"1,521"
Alabama,.Gordon town,425
Alabama,.Gordonville town,293
Alabama,.Goshen town,303
Alabama,.Grant town,721
Alabama,.Graysville city,"2,392"
Alabama,.Greensboro city,"2,527"
Alabama,.Greenville city,"6,929"
Alabama,.Grimes town,453
Alabama,.Grove Hill town,"1,319"
Alabama,.Guin city,"2,149"
Alabama,.Gulf Shores city,"10,268"
Alabama,.Guntersville city,"8,601"
Alabama,.Gurley town,877
Alabama,.Gu-Win town,191
Alabama,.Hackleburg town,"1,428"
Alabama,.Haleburg town,109
Alabama,.Haleyville city,"4,068"
Alabama,.Hamilton city,"6,314"
Alabama,.Hammondville town,545
Alabama,.Hanceville city,"3,448"
Alabama,.Harpersville town,"1,834"
Alabama,.Hartford city,"2,420"
Alabama,.Hartselle city,"13,955"
Alabama,.Hayden town,550
Alabama,.Hayneville town,"1,087"
Alabama,.Headland city,"3,997"
Alabama,.Heath town,248
Alabama,.Heflin city,"3,533"
Alabama,.Helena city,"15,182"
Alabama,.Henagar city,"2,611"
Alabama,.Highland Lake town,506
Alabama,.Hillsboro town,590
Alabama,.Hobson City town,871
Alabama,.Hodges town,283
Alabama,.Hokes Bluff city,"4,458"
Alabama,.Holly Pond town,783
Alabama,.Hollywood town,918
Alabama,.Homewood city,"23,993"
Alabama,.Hoover city,"72,989"
Alabama,.Horn Hill town,234
Alabama,.Hueytown city,"15,846"
Alabama,.Huntsville city,"179,652"
Alabama,.Hurtsboro town,545
Alabama,.Hytop town,311
Alabama,.Ider town,721
Alabama,.Indian Springs Village city,"2,625"
Alabama,.Irondale city,"9,778"
Alabama,.Jackson city,"5,096"
Alabama,.Jacksons' Gap town,766
Alabama,.Jacksonville city,"10,183"
Alabama,.Jasper city,"14,029"
Alabama,.Jemison city,"3,000"
Alabama,.Kansas town,254
Alabama,.Kellyton town,222
Alabama,.Kennedy town,490
Alabama,.Killen town,"1,142"
Alabama,.Kimberly town,"2,880"
Alabama,.Kinsey town,"2,017"
Alabama,.Kinston town,622
Alabama,.La Fayette city,"2,882"
Alabama,.Lakeview town,176
Alabama,.Lake View town,"2,455"
Alabama,.Lanett city,"7,045"
Alabama,.Langston town,250
Alabama,.Leeds city,"11,473"
Alabama,.Leesburg town,818
Alabama,.Leighton town,828
Alabama,.Lester town,123
Alabama,.Level Plains town,"1,526"
Alabama,.Lexington town,844
Alabama,.Libertyville town,104
Alabama,.Lincoln city,"6,088"
Alabama,.Linden city,"2,224"
Alabama,.Lineville city,"2,320"
Alabama,.Lipscomb city,"2,034"
Alabama,.Lisman town,569
Alabama,.Littleville town,"1,042"
Alabama,.Livingston city,"2,881"
Alabama,.Loachapoka town,162
Alabama,.Lockhart town,538
Alabama,.Locust Fork town,"1,197"
Alabama,.Louisville town,572
Alabama,.Lowndesboro town,123
Alabama,.Loxley town,"1,998"
Alabama,.Luverne city,"2,747"
Alabama,.Lynn town,713
Alabama,.McIntosh town,230
Alabama,.McKenzie town,602
Alabama,.McMullen town,59
Alabama,.Madison city,"39,875"
Alabama,.Madrid town,341
Alabama,.Magnolia Springs town,684
Alabama,.Malvern town,"1,229"
Alabama,.Maplesville town,698
Alabama,.Margaret town,"1,282"
Alabama,.Marion city,"3,281"
Alabama,.Maytown town,434
Alabama,.Memphis town,31
Alabama,.Mentone town,485
Alabama,.Midfield city,"5,208"
Alabama,.Midland City town,"1,890"
Alabama,.Midway town,495
Alabama,.Millbrook city,"16,893"
Alabama,.Millport town,"1,003"
Alabama,.Millry town,586
Alabama,.Mobile city,"193,205"
Alabama,.Monroeville city,"6,285"
Alabama,.Montevallo city,"6,447"
Alabama,.Montgomery city,"202,124"
Alabama,.Moody city,"13,845"
Alabama,.Mooresville town,66
Alabama,.Morris town,"1,903"
Alabama,.Mosses town,"1,006"
Alabama,.Moulton city,"3,234"
Alabama,.Moundville town,"2,545"
Alabama,.Mountainboro town,332
Alabama,.Mountain Brook city,"21,094"
Alabama,.Mount Vernon town,815
Alabama,.Mulga town,895
Alabama,.Munford town,"1,416"
Alabama,.Muscle Shoals city,"13,073"
Alabama,.Myrtlewood town,129
Alabama,.Napier Field town,395
Alabama,.Natural Bridge town,27
Alabama,.Nauvoo town,281
Alabama,.Nectar town,429
Alabama,.Needham town,87
Alabama,.Newbern town,222
Alabama,.New Brockton town,"1,247"
Alabama,.New Hope city,"2,845"
Alabama,.New Site town,837
Alabama,.Newton town,"1,652"
Alabama,.Newville town,543
Alabama,.North Courtland town,798
Alabama,.North Johns town,132
Alabama,.Northport city,"23,422"
Alabama,.Notasulga town,826
Alabama,.Oak Grove town,459
Alabama,.Oak Hill town,35
Alabama,.Oakman town,915
Alabama,.Odenville town,"2,898"
Alabama,.Ohatchee town,"1,268"
Alabama,.Oneonta city,"7,085"
Alabama,.Onycha town,209
Alabama,.Opelika city,"27,454"
Alabama,.Opp city,"6,524"
Alabama,.Orange Beach city,"6,221"
Alabama,.Orrville town,203
Alabama,.Owens Cross Roads town,"1,730"
Alabama,.Oxford city,"20,800"
Alabama,.Ozark city,"14,588"
Alabama,.Paint Rock town,181
Alabama,.Parrish town,"1,243"
Alabama,.Pelham city,"21,700"
Alabama,.Pell City city,"13,112"
Alabama,.Pennington town,319
Alabama,.Petrey town,63
Alabama,.Phenix City city,"31,100"
Alabama,.Phil Campbell town,"1,055"
Alabama,.Pickensville town,624
Alabama,.Piedmont city,"4,961"
Alabama,.Pike Road town,"3,334"
Alabama,.Pinckard town,622
Alabama,.Pine Apple town,305
Alabama,.Pine Hill town,878
Alabama,.Pine Ridge town,263
Alabama,.Pinson city,"6,899"
Alabama,.Pisgah town,689
Alabama,.Pleasant Grove city,"10,287"
Alabama,.Pleasant Groves town,438
Alabama,.Pollard town,118
Alabama,.Powell town,987
Alabama,.Prattville city,"32,696"
Alabama,.Priceville town,"2,883"
Alabama,.Prichard city,"27,576"
Alabama,.Providence town,294
Alabama,.Ragland town,"2,184"
Alabama,.Rainbow City city,"9,387"
Alabama,.Rainsville city,"5,041"
Alabama,.Ranburne town,482
Alabama,.Red Bay city,"3,314"
Alabama,.Red Level town,545
Alabama,.Reece City town,617
Alabama,.Reform town,"1,756"
Alabama,.Rehobeth town,"1,274"
Alabama,.Repton town,300
Alabama,.Ridgeville town,152
Alabama,.River Falls town,606
Alabama,.Riverside town,"2,068"
Alabama,.Riverview town,155
Alabama,.Roanoke city,"6,649"
Alabama,.Robertsdale city,"5,120"
Alabama,.Rockford town,387
Alabama,.Rogersville town,"1,207"
Alabama,.Rosa town,360
Alabama,.Russellville city,"8,961"
Alabama,.Rutledge town,514
Alabama,.St. Florian town,517
Alabama,.Samson city,"2,025"
Alabama,.Sand Rock town,517
Alabama,.Sanford town,270
Alabama,.Saraland city,"13,043"
Alabama,.Sardis City town,"2,129"
Alabama,.Satsuma city,"6,032"
Alabama,.Scottsboro city,"14,879"
Alabama,.Section town,752
Alabama,.Selma city,"18,278"
Alabama,.Sheffield city,"9,031"
Alabama,.Shiloh town,314
Alabama,.Shorter town,367
Alabama,.Silas town,473
Alabama,.Silverhill town,704
Alabama,.Sipsey town,546
Alabama,.Skyline town,877
Alabama,.Slocomb city,"2,047"
Alabama,.Smiths Station city,"4,782"
Alabama,.Snead town,859
Alabama,.Somerville town,653
Alabama,.Southside city,"8,495"
Alabama,.South Vinemont town,520
Alabama,.Spanish Fort city,"7,539"
Alabama,.Springville city,"3,731"
Alabama,.Steele town,"1,246"
Alabama,.Stevenson town,"2,007"
Alabama,.Sulligent city,"1,951"
Alabama,.Sumiton city,"2,553"
Alabama,.Summerdale town,768
Alabama,.Susan Moore town,846
Alabama,.Sweet Water town,217
Alabama,.Sylacauga city,"13,040"
Alabama,.Sylvania town,"1,401"
Alabama,.Sylvan Springs town,"1,535"
Alabama,.Talladega city,"16,735"
Alabama,.Talladega Springs town,123
Alabama,.Tallassee city,"5,237"
Alabama,.Tarrant city,"6,518"
Alabama,.Taylor town,"2,027"
Alabama,.Thomaston town,361
Alabama,.Thomasville city,"4,416"
Alabama,.Thorsby town,"2,100"
Alabama,.Town Creek town,"1,203"
Alabama,.Toxey town,135
Alabama,.Trafford town,498
Alabama,.Triana town,502
Alabama,.Trinity town,"2,031"
Alabama,.Troy city,"15,142"
Alabama,.Trussville city,"19,208"
Alabama,.Tuscaloosa city,"93,138"
Alabama,.Tuscumbia city,"8,374"
Alabama,.Tuskegee city,"11,063"
Alabama,.Twin town,376
Alabama,.Union town,206
Alabama,.Union Grove town,101
Alabama,.Union Springs city,"4,770"
Alabama,.Uniontown town,"1,519"
Alabama,.Valley city,"9,841"
Alabama,.Valley Grande city,"3,794"
Alabama,.Valley Head town,657
Alabama,.Vance town,"1,220"
Alabama,.Vernon city,"1,872"
Alabama,.Vestavia Hills city,"31,121"
Alabama,.Vina town,417
Alabama,.Vincent town,"2,024"
Alabama,.Vredenburgh town,307
Alabama,.Wadley town,645
Alabama,.Waldo town,276
Alabama,.Walnut Grove town,702
Alabama,.Warrior city,"3,153"
Alabama,.Waterloo town,212
Alabama,.Waverly town,173
Alabama,.Weaver city,"2,926"
Alabama,.Webb town,"1,395"
Alabama,.Wedowee town,816
Alabama,.West Blocton town,"1,406"
Alabama,.West Jefferson town,409
Alabama,.Westover town,"1,313"
Alabama,.West Point town,605
Alabama,.Wetumpka city,"7,798"
Alabama,.White Hall town,935
Alabama,.Wilsonville town,"1,848"
Alabama,.Wilton town,676
Alabama,.Winfield city,"4,534"
Alabama,.Woodland town,208
Alabama,.Woodstock town,"1,081"
Alabama,.Woodville town,743
Alabama,.Yellow Bluff town,175
Alabama,.York city,"2,477"
Alaska,.Adak city,361
Alaska,.Akhiok city,74
Alaska,.Akiak city,310
Alaska,.Akutan city,812
Alaska,.Alakanuk city,714
Alaska,.Aleknagik city,222
Alaska,.Allakaket city,84
Alaska,.Ambler city,320
Alaska,.Anaktuvuk Pass city,256
Alaska,.Anchorage municipality,"286,174"
Alaska,.Anderson city,272
Alaska,.Angoon city,436
Alaska,.Aniak city,575
Alaska,.Anvik city,90
Alaska,.Atka city,76
Alaska,.Atqasuk city,207
Alaska,.Barrow city,"4,091"
Alaska,.Bethel city,"6,522"
Alaska,.Bettles city,37
Alaska,.Brevig Mission city,278
Alaska,.Buckland city,419
Alaska,.Chefornak city,396
Alaska,.Chevak city,839
Alaska,.Chignik city,63
Alaska,.Chuathbaluk city,120
Alaska,.Clark's Point city,75
Alaska,.Coffman Cove city,178
Alaska,.Cold Bay city,76
Alaska,.Cordova city,"2,240"
Alaska,.Craig city,"1,195"
Alaska,.Deering city,140
Alaska,.Delta Junction city,949
Alaska,.Dillingham city,"2,481"
Alaska,.Diomede city,147
Alaska,.Eagle city,147
Alaska,.Eek city,282
Alaska,.Egegik city,92
Alaska,.Ekwok city,131
Alaska,.Elim city,316
Alaska,.Emmonak city,842
Alaska,.Fairbanks city,"35,252"
Alaska,.False Pass city,55
Alaska,.Fort Yukon city,513
Alaska,.Galena city,592
Alaska,.Gambell city,652
Alaska,.Golovin city,145
Alaska,.Goodnews Bay city,231
Alaska,.Grayling city,168
Alaska,.Gustavus city,346
Alaska,.Holy Cross city,197
Alaska,.Homer city,"5,998"
Alaska,.Hoonah city,697
Alaska,.Hooper Bay city,"1,112"
Alaska,.Houston city,"2,253"
Alaska,.Hughes city,68
Alaska,.Huslia city,254
Alaska,.Hydaburg city,340
Alaska,.Juneau city and borough,"30,796"
Alaska,.Kachemak city,452
Alaska,.Kake city,631
Alaska,.Kaktovik city,265
Alaska,.Kaltag city,199
Alaska,.Kasaan city,34
Alaska,.Kenai city,"7,945"
Alaska,.Ketchikan city,"7,515"
Alaska,.Kiana city,400
Alaska,.King Cove city,750
Alaska,.Kivalina city,388
Alaska,.Klawock city,745
Alaska,.Kobuk city,112
Alaska,.Kodiak city,"6,357"
Alaska,.Kotlik city,650
Alaska,.Kotzebue city,"3,150"
Alaska,.Koyuk city,299
Alaska,.Koyukuk city,88
Alaska,.Kupreanof city,21
Alaska,.Kwethluk city,718
Alaska,.Larsen Bay city,106
Alaska,.Lower Kalskag city,269
Alaska,.McGrath city,346
Alaska,.Manokotak city,402
Alaska,.Marshall city,383
Alaska,.Mekoryuk city,211
Alaska,.Mountain Village city,827
Alaska,.Napakiak city,355
Alaska,.Napaskiak city,392
Alaska,.Nenana city,341
Alaska,.Newhalen city,128
Alaska,.New Stuyahok city,474
Alaska,.Nightmute city,209
Alaska,.Nikolai city,85
Alaska,.Nome city,"3,653"
Alaska,.Nondalton city,176
Alaska,.Noorvik city,654
Alaska,.North Pole city,"2,226"
Alaska,.Nuiqsut city,379
Alaska,.Nulato city,291
Alaska,.Nunam Iqua city,180
Alaska,.Nunapitchuk city,469
Alaska,.Old Harbor city,219
Alaska,.Ouzinkie city,208
Alaska,.Palmer city,"8,428"
Alaska,.Pelican city,124
Alaska,.Petersburg city,"2,820"
Alaska,.Pilot Point city,80
Alaska,.Pilot Station city,604
Alaska,.Platinum city,41
Alaska,.Point Hope city,687
Alaska,.Port Alexander city,73
Alaska,.Port Heiden city,95
Alaska,.Port Lions city,237
Alaska,.Quinhagak city,557
Alaska,.Ruby city,163
Alaska,.Russian Mission city,325
Alaska,.St. George city,125
Alaska,.St. Mary's city,548
Alaska,.St. Michael city,370
Alaska,.St. Paul city,437
Alaska,.Sand Point city,962
Alaska,.Savoonga city,648
Alaska,.Saxman city,364
Alaska,.Scammon Bay city,512
Alaska,.Selawik city,797
Alaska,.Seldovia city,319
Alaska,.Seward city,"3,171"
Alaska,.Shageluk city,111
Alaska,.Shaktoolik city,232
Alaska,.Shishmaref city,566
Alaska,.Shungnak city,265
Alaska,.Sitka city and borough,"8,747"
Alaska,.Soldotna city,"4,515"
Alaska,.Stebbins city,552
Alaska,.Tanana city,265
Alaska,.Teller city,269
Alaska,.Tenakee Springs city,91
Alaska,.Thorne Bay city,491
Alaska,.Togiak city,814
Alaska,.Toksook Bay city,536
Alaska,.Unalakleet city,752
Alaska,.Unalaska city,"3,580"
Alaska,.Upper Kalskag city,231
Alaska,.Valdez city,"3,792"
Alaska,.Wainwright city,494
Alaska,.Wales city,153
Alaska,.Wasilla city,"10,692"
Alaska,.White Mountain city,205
Alaska,.Whittier city,157
Alaska,.Wrangell city and borough,"2,147"
Arizona,.Apache Junction city,"34,284"
Arizona,.Avondale city,"85,212"
Arizona,.Benson city,"5,144"
Arizona,.Bisbee city,"5,962"
Arizona,.Buckeye town,"51,735"
Arizona,.Bullhead City city,"40,747"
Arizona,.Camp Verde town,"10,871"
Arizona,.Carefree town,"3,888"
Arizona,.Casa Grande city,"43,878"
Arizona,.Cave Creek town,"5,505"
Arizona,.Chandler city,"249,535"
Arizona,.Chino Valley town,"11,182"
Arizona,.Clarkdale town,"4,252"
Arizona,.Clifton town,"2,569"
Arizona,.Colorado City town,"4,668"
Arizona,.Coolidge city,"11,079"
Arizona,.Cottonwood city,"11,361"
Arizona,.Dewey-Humboldt town,"3,809"
Arizona,.Douglas city,"17,451"
Arizona,.Duncan town,766
Arizona,.Eagar town,"4,516"
Arizona,.El Mirage city,"24,814"
Arizona,.Eloy city,"13,308"
Arizona,.Flagstaff city,"60,611"
Arizona,.Florence town,"21,769"
Arizona,.Fountain Hills town,"25,388"
Arizona,.Fredonia town,"1,145"
Arizona,.Gila Bend town,"1,834"
Arizona,.Gilbert town,"222,075"
Arizona,.Glendale city,"253,209"
Arizona,.Globe city,"7,157"
Arizona,.Goodyear city,"63,688"
Arizona,.Guadalupe town,"5,972"
Arizona,.Hayden town,808
Arizona,.Holbrook city,"5,083"
Arizona,.Huachuca City town,"1,956"
Arizona,.Jerome town,378
Arizona,.Kearny town,"3,446"
Arizona,.Kingman city,"27,521"
Arizona,.Lake Havasu City city,"55,657"
Arizona,.Litchfield Park city,"5,178"
Arizona,.Mammoth town,"2,701"
Arizona,.Marana town,"35,124"
Arizona,.Maricopa city,"44,691"
Arizona,.Mesa city,"467,157"
Arizona,.Miami town,"1,765"
Arizona,.Nogales city,"20,017"
Arizona,.Oro Valley town,"44,003"
Arizona,.Page city,"7,073"
Arizona,.Paradise Valley town,"15,184"
Arizona,.Parker town,"3,120"
Arizona,.Patagonia town,793
Arizona,.Payson town,"15,547"
Arizona,.Peoria city,"163,226"
Arizona,.Phoenix city,"1,593,659"
Arizona,.Pima town,"2,198"
Arizona,.Pinetop-Lakeside town,"4,522"
Arizona,.Prescott city,"42,749"
Arizona,.Prescott Valley town,"38,463"
Arizona,.Quartzsite town,"3,466"
Arizona,.Queen Creek town,"26,098"
Arizona,.Safford city,"9,832"
Arizona,.Sahuarita town,"24,834"
Arizona,.St. Johns city,"3,675"
Arizona,.San Luis city,"25,682"
Arizona,.Scottsdale city,"237,844"
Arizona,.Sedona city,"11,598"
Arizona,.Show Low city,"12,346"
Arizona,.Sierra Vista city,"43,227"
Arizona,.Snowflake town,"5,686"
Arizona,.Somerton city,"12,754"
Arizona,.South Tucson city,"6,042"
Arizona,.Springerville town,"2,005"
Arizona,.Star Valley town,"1,969"
Arizona,.Superior town,"3,525"
Arizona,.Surprise city,"95,236"
Arizona,.Taylor town,"4,182"
Arizona,.Tempe city,"178,519"
Arizona,.Thatcher town,"5,070"
Arizona,.Tolleson city,"7,329"
Arizona,.Tombstone city,"1,562"
Arizona,.Tucson city,"543,910"
Arizona,.Wellton town,"1,951"
Arizona,.Wickenburg town,"6,654"
Arizona,.Willcox city,"3,822"
Arizona,.Williams city,"3,336"
Arizona,.Winkelman town,428
Arizona,.Winslow city,"9,833"
Arizona,.Youngtown town,"4,911"
Arizona,.Yuma city,"91,105"
Arkansas,.Adona city,185
Arkansas,.Alexander city,"2,358"
Arkansas,.Alicia town,138
Arkansas,.Allport town,133
Arkansas,.Alma city,"5,199"
Arkansas,.Almyra town,301
Arkansas,.Alpena town,392
Arkansas,.Altheimer city,"1,109"
Arkansas,.Altus city,834
Arkansas,.Amagon town,85
Arkansas,.Amity city,759
Arkansas,.Anthonyville town,238
Arkansas,.Antoine town,145
Arkansas,.Arkadelphia city,"11,177"
Arkansas,.Arkansas City city,513
Arkansas,.Ashdown city,"4,474"
Arkansas,.Ash Flat city,"1,094"
Arkansas,.Atkins city,"2,979"
Arkansas,.Aubrey town,173
Arkansas,.Augusta city,"2,214"
Arkansas,.Austin city,"1,984"
Arkansas,.Avoca town,465
Arkansas,.Bald Knob city,"3,432"
Arkansas,.Banks town,115
Arkansas,.Barling city,"4,544"
Arkansas,.Bassett town,154
Arkansas,.Batesville city,"9,436"
Arkansas,.Bauxite town,546
Arkansas,.Bay city,"2,058"
Arkansas,.Bearden city,"1,011"
Arkansas,.Beaver town,119
Arkansas,.Beebe city,"7,002"
Arkansas,.Beedeville town,96
Arkansas,.Bella Vista town,"25,480"
Arkansas,.Bellefonte town,488
Arkansas,.Belleville city,391
Arkansas,.Ben Lomond town,135
Arkansas,.Benton city,"29,884"
Arkansas,.Bentonville city,"36,857"
Arkansas,.Bergman town,445
Arkansas,.Berryville city,"5,303"
Arkansas,.Bethel Heights city,"1,598"
Arkansas,.Bigelow town,331
Arkansas,.Big Flat town,111
Arkansas,.Biggers town,340
Arkansas,.Birdsong town,37
Arkansas,.Black Oak town,305
Arkansas,.Black Rock city,669
Arkansas,.Black Springs town,109
Arkansas,.Blevins city,358
Arkansas,.Blue Eye town,39
Arkansas,.Blue Mountain town,135
Arkansas,.Bluff City town,121
Arkansas,.Blytheville city,"15,983"
Arkansas,.Bodcaw town,118
Arkansas,.Bonanza city,571
Arkansas,.Bono city,"1,622"
Arkansas,.Booneville city,"4,030"
Arkansas,.Bradford city,966
Arkansas,.Bradley city,503
Arkansas,.Branch city,362
Arkansas,.Briarcliff city,293
Arkansas,.Brinkley city,"3,075"
Arkansas,.Brookland town,"1,772"
Arkansas,.Bryant city,"16,224"
Arkansas,.Buckner city,347
Arkansas,.Bull Shoals city,"2,123"
Arkansas,.Burdette town,116
Arkansas,.Cabot city,"23,825"
Arkansas,.Caddo Valley town,645
Arkansas,.Caldwell town,429
Arkansas,.Cale town,57
Arkansas,.Calico Rock city,970
Arkansas,.Calion city,603
Arkansas,.Camden city,"11,320"
Arkansas,.Cammack Village city,786
Arkansas,.Campbell Station city,200
Arkansas,.Caraway city,"1,410"
Arkansas,.Carlisle city,"2,454"
Arkansas,.Carthage city,394
Arkansas,.Casa town,212
Arkansas,.Cash town,329
Arkansas,.Caulksville town,229
Arkansas,.Cave City city,"2,020"
Arkansas,.Cave Springs city,"1,797"
Arkansas,.Cedarville city,"1,215"
Arkansas,.Centerton city,"8,637"
Arkansas,.Central City town,560
Arkansas,.Charleston city,"2,994"
Arkansas,.Cherokee Village city,"4,702"
Arkansas,.Cherry Valley city,659
Arkansas,.Chester town,104
Arkansas,.Chidester city,324
Arkansas,.Clarendon city,"1,595"
Arkansas,.Clarkedale city,234
Arkansas,.Clarksville city,"8,731"
Arkansas,.Clinton city,"2,598"
Arkansas,.Coal Hill city,"1,070"
Arkansas,.College City city,377
Arkansas,.Colt city,334
Arkansas,.Concord town,266
Arkansas,.Conway city,"59,512"
Arkansas,.Corinth town,69
Arkansas,.Corning city,"3,254"
Arkansas,.Cotter city,"1,078"
Arkansas,.Cotton Plant city,815
Arkansas,.Cove town,380
Arkansas,.Coy town,121
Arkansas,.Crawfordsville town,493
Arkansas,.Crossett city,"5,409"
Arkansas,.Cushman city,470
Arkansas,.Daisy town,112
Arkansas,.Damascus town,384
Arkansas,.Danville city,"2,515"
Arkansas,.Dardanelle city,"4,516"
Arkansas,.Datto town,86
Arkansas,.Decatur city,"2,064"
Arkansas,.Delaplaine town,130
Arkansas,.Delight city,287
Arkansas,.Dell town,228
Arkansas,.Denning town,277
Arkansas,.De Queen city,"6,215"
Arkansas,.Dermott city,"3,205"
Arkansas,.Des Arc city,"1,707"
Arkansas,.De Valls Bluff city,692
Arkansas,.DeWitt city,"3,206"
Arkansas,.Diamond City city,810
Arkansas,.Diaz city,"1,122"
Arkansas,.Dierks city,"1,233"
Arkansas,.Donaldson town,335
Arkansas,.Dover city,"1,404"
